variable,descripcion,modulo_fuente,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage_reportado,dimension_inei,dimension_analitica,subdimension,apta_selectkbest,motivo_selectkbest
ingtpu02,ingreso por transferencias corrientes publicas: otros,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu03,ingreso por transferencias corrientes publicas: pension 65,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu04,ingreso por transferencias corrientes publicas: beca 18,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu05,ingreso por transferencias corrientes publicas: bono del gas,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu10,ingreso por transferencias corrientes públicas bono electricidad,Sumaria,numerica,int8,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu12,ingreso por transferencias corrientes públicas bono onp para jubilados,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu13,ingreso por transferencias corrientes públicas programa contigo,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu14,ingreso por transferencias corrientes públicas bono yanapay,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpu16,ingreso por transferencias corrientes públicas bono alimentario,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtpuhd,ingreso por transferencias corrientes publicas,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ingtrahd,ingreso por transferencias corrientes monetarias del pais,Sumaria,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
insedlhd,ingreso neto de la actividad secundaria dependiente,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
insedthd,ingreso bruto de la actividad secundaria dependiente,Sumaria,numerica,float64,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
isecauhd,ingreso por autoconsumo de la actividad secundaria independiente,Sumaria,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
ld,deflactor espacial,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
lineav,linea corriente de vulnerabilidad 2017-2023,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
paesechd,ingreso pago en especie de la actividad secundaria dependiente,Modulo01,numerica,int16,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
pagesphd,ingreso por pago en especie de la actividad principal,Modulo01,numerica,int32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg23,gastos por equipamiento del hogar adquiridos - transporte,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg25,gastos por alimentos consumidos fuera del hogar (menores de 14 años),Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg27,gastos por alimentos consumidos por ollas comunes,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg42,"gastos por equipamiento del hogar comprados - equipos tv, computacion, sonido",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg421,"gastos por equipamiento del hogar comprados - electrodomésticos, máquina de cose",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg422,gastos por equipamiento del hogar comprados - transporte,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg42d,"gastos por equipamiento del hogar adquiridos - equipos tv, computacion, sonido",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg42d1,"gastos por equipamiento del hogar adquiridos - electrodomésticos, máquina de cos",Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sg42d2,gastos por equipamiento del hogar adquiridos - transporte,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sig24,ingresos y gastos por alimentos para consumir en el hogar,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sig26,ingresos y gastos por alimentos consumidos fuera del hogar (menores de 14 años),Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
sig28,ingresos y gastos por alimentos consumidos por ollas comunes,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,"Ingresos, gastos y transferencias monetarias",Agregados monetarios de Sumaria,False,Excluir en el enfoque dimensional por cercanía conceptual al target monetario o baja interpretabilidad.
factor07,Factor de expansión anual del hogar,Sumaria,numerica,float32,0.0,False,False,bajo,No aplica,Ponderacion muestral,Expansion,False,Ponderador; conservar fuera de la matriz X.
any_sin_atencion_salud,any_sin_atencion_salud,Sumaria,binaria,int64,0.0,False,False,bajo,No aplica,Revision manual,Pendiente de clasificación fina,False,Requiere revisión manual antes del modelado.
any_enfermedad_4w,Existe al menos un miembro con enfermedad en últimas 4 semanas,Modulo04,binaria,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
any_sintoma_4w,Existe al menos un miembro con síntoma o malestar en últimas 4 semanas,Modulo04,binaria,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
health_no_attention,Hogar con al menos un miembro sin atencion de salud,Sumaria,binaria,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
miembros_afiliados_essalud,Miembros afiliados a EsSalud,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
miembros_con_enfermedad_4w,Miembros con enfermedad en últimas 4 semanas,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
miembros_con_sintoma_4w,Miembros con síntoma o malestar en últimas 4 semanas,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
miembros_sin_atencion_salud,Miembros sin atención en salud,Modulo04,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",True,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
personas_con_mod_salud,personas_con_mod_salud,Modulo01,numerica,int64,0.0,False,False,bajo,Salud,Salud,"Morbilidad, atencion y aseguramiento",False,Adecuada para modelado; evitar auxiliares de cobertura del módulo.
acceso_agua_red,Acceso a agua por red pública,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
acceso_desague_red,Acceso a desagüe por red pública,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
agua_disponible_diaria,Disponibilidad diaria de agua,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
agua_potable_reportada,Agua reportada como potable,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
agua_segura_proxy,Indicador proxy de agua segura,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
fuente_agua,Fuente principal de abastecimiento de agua,Modulo01,categorica,str,0.0,False,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
p110,Fuente de abastecimiento de agua,Modulo01,categorica,category,0.0,False,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
p110a1,Agua reportada como potable,Modulo01,categorica,category,15.7548,True,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
p110c,Frecuencia de disponibilidad de agua,Modulo01,categorica,category,15.7548,True,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
p111a,Tipo de servicio higiénico o desagüe,Modulo01,categorica,category,0.0,False,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
saneamiento_inadecuado,Indicador de saneamiento inadecuado,Modulo01,binaria,int64,0.0,False,False,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,True,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
tipo_desague,Tipo de desagüe,Modulo01,categorica,str,0.0,False,True,bajo,Servicios Básicos,Servicios basicos,Agua y saneamiento,False,Preferir derivadas claras y binarias sobre códigos crudos cuando exista redundancia.
pobrezav,Pobreza y vulnerable con línea corriente,Sumaria,categorica,category,0.0,False,True,bajo,No aplica,Variables relacionadas al objetivo,Pobreza/vulnerabilidad calculada,False,Muy cercana al objetivo; excluir por riesgo de leakage.
material_piso,Material predominante del piso,Modulo01,categorica,str,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p101,Tipo de vivienda,Modulo01,categorica,category,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p102,Material predominante de la pared,Modulo01,categorica,category,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p103,Material predominante del piso,Modulo01,categorica,category,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,False,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p103a,Material predominante del techo,Modulo01,categorica,category,0.3955,True,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p104,Cantidad de habitaciones,Modulo01,numerica,float64,0.3955,True,False,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p105a,Tenencia de la vivienda,Modulo01,categorica,category,0.0,False,True,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
p106,Condición o estado asociado a la vivienda,Modulo01,numerica,float64,13.8431,True,False,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,False,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
piso_precario,Indicador de piso precario,Modulo01,binaria,int64,0.0,False,False,bajo,Vivienda y Entorno,Vivienda y entorno,Calidad física y tenencia,True,Usar preferentemente variables interpretables y evitar duplicidad con derivadas más limpias.
